Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,POLYCAB,BUY,9779.0,9779.0,9300.84,10496.24,11707.22,4.0,65,79.5,STRONG,100.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,KEI,BUY,5452.0,5452.0,5059.07,6041.4,6378.2,2.4,60,76.4,STRONG,100.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,IDEA,BUY,14.43,14.43,13.56,15.74,16.61,2.5,65,73.7,STRONG,100.0,Telecommunication,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,TATACOMM,BUY,1993.4,1993.4,1901.48,2131.28,2223.2,2.5,55,71.3,STRONG,100.0,Telecommunication,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-01,1901.48,Stop Loss Hit,-4.61
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,LICHSGFIN,BUY,560.75,560.75,537.6,595.47,618.62,2.5,60,69.4,STRONG,63.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,SONACOMS,BUY,620.75,620.75,597.58,655.5,709.64,3.8,60,68.7,STRONG,96.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,ATGL,BUY,731.65,731.65,684.69,802.09,849.05,2.5,60,68.1,STRONG,100.0,Oil Gas & Consumable Fuels,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,MARICO,BUY,839.95,839.95,810.08,884.76,908.55,2.3,60,64.7,MODERATE,67.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,ABB,BUY,7128.0,7128.0,6795.79,7626.32,7958.53,2.5,65,63.2,MODERATE,75.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-06-29,14:41,EMA21_Bounce,21 EMA Bounce,DMART,BUY,4357.0,4357.0,4184.66,4615.51,4787.85,2.5,60,60.8,MODERATE,64.0,Consumer Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
