Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-06-10,14:17,VCP,VCP (Minervini v2),ADANIPORTS,BUY,1821.2,1857.8,1736.47,2206.54,2770.84,7.5,41,43.8,WEAK,100.0,Services,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,PHOENIXLTD,BUY,1765.7,1765.7,1726.58,1824.38,1863.5,2.5,50,93.1,ELITE,84.0,Realty,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,STARHEALTH,BUY,524.4,524.4,514.75,538.88,548.53,2.5,50,90.7,ELITE,93.0,Financial Services,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,NAVINFLUOR,BUY,7046.5,7046.5,6678.59,7598.36,7966.27,2.5,55,87.7,ELITE,76.0,Chemicals,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,NESTLEIND,BUY,1438.3,1438.3,1395.24,1502.89,1545.95,2.5,45,84.1,ELITE,92.0,Fast Moving Consumer Goods,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,AUROPHARMA,BUY,1453.6,1453.6,1418.24,1506.64,1542.0,2.5,45,83.8,ELITE,86.0,Healthcare,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,AXISBANK,BUY,1314.5,1314.5,1265.96,1387.31,1391.0,1.6,50,82.5,ELITE,60.0,Financial Services,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,MARICO,BUY,819.9,819.9,801.08,848.13,866.95,2.5,50,76.5,STRONG,68.0,Fast Moving Consumer Goods,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,EMA21_Bounce,21 EMA Bounce,EICHERMOT,BUY,7219.5,7219.5,7063.98,7452.78,7608.3,2.5,45,73.2,STRONG,52.0,Automobile and Auto Components,PANIC,-6,BLOCKED,OK,OPEN,,,,
2026-06-10,14:17,Failed_Breakout_Short,Failed Breakout Short,PNB,SHORT,107.17,107.17,111.25,101.05,96.97,2.5,72,59.2,MODERATE,42.0,Financial Services,PANIC,-6,IDEAL,OK,OPEN,,,,
2026-06-10,14:17,Failed_Breakout_Short,Failed Breakout Short,CANBK,SHORT,133.46,133.46,139.43,124.51,118.54,2.5,72,58.4,MODERATE,48.0,Financial Services,PANIC,-6,IDEAL,OK,OPEN,,,,
