Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-06-03,15:25,VCP,VCP (Minervini v2),ADANIPORTS,BUY,1803.8,1842.8,1735.58,2182.27,2731.57,8.0,42,45.2,WEAK,100.0,Services,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,VCP,VCP (Minervini v2),JSWSTEEL,BUY,1312.9,1328.0,1252.01,1467.36,1692.86,4.8,41,39.2,WEAK,74.0,Metals & Mining,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,EMA21_Bounce,21 EMA Bounce,GRASIM,BUY,3101.6,3101.6,3004.21,3247.68,3471.84,3.8,45,89.8,ELITE,90.0,Construction Materials,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,EMA21_Bounce,21 EMA Bounce,APOLLOHOSP,BUY,8290.5,8290.5,8016.54,8701.44,9038.59,2.7,55,83.3,ELITE,79.0,Healthcare,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,EMA21_Bounce,21 EMA Bounce,COALINDIA,BUY,472.3,472.3,456.46,496.06,511.9,2.5,45,79.6,STRONG,88.0,Oil Gas & Consumable Fuels,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,EMA21_Bounce,21 EMA Bounce,TATASTEEL,BUY,211.89,211.89,205.03,222.18,229.04,2.5,45,72.3,STRONG,67.0,Metals & Mining,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,52WH_Breakout,52-Week High Breakout,IDEA,BUY,14.85,14.85,14.21,15.81,19.0,6.5,37,52.2,MODERATE,100.0,Telecommunication,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,Last30Min_ATH,Near 52W High (EOD),APOLLOHOSP,BUY,8290.5,8290.5,8109.5,8562.0,9038.59,4.1,35,40.3,WEAK,79.0,Healthcare,PANIC,-5,BLOCKED,OK,OPEN,,,,
2026-06-03,15:25,Failed_Breakout_Short,Failed Breakout Short,TECHM,SHORT,1472.3,1472.3,1602.94,1276.34,1145.7,2.5,77,73.9,STRONG,85.0,Information Technology,PANIC,-5,IDEAL,OK,OPEN,,,,
2026-06-03,15:25,Failed_Breakout_Short,Failed Breakout Short,PERSISTENT,SHORT,5097.5,5097.5,5665.75,4245.12,3676.87,2.5,77,70.9,STRONG,85.0,Information Technology,PANIC,-5,IDEAL,OK,OPEN,,,,
2026-06-03,15:25,Failed_Breakout_Short,Failed Breakout Short,TATAELXSI,SHORT,4347.0,4347.0,4576.73,4002.41,3772.68,2.5,77,69.2,STRONG,62.0,Information Technology,PANIC,-5,IDEAL,OK,OPEN,,,,
2026-06-03,15:25,Failed_Breakout_Short,Failed Breakout Short,TCS,SHORT,2241.7,2241.7,2477.88,1887.43,1651.25,2.5,75,67.5,STRONG,40.0,Information Technology,PANIC,-5,IDEAL,OK,OPEN,,,,
2026-06-03,15:25,Failed_Breakout_Short,Failed Breakout Short,HCLTECH,SHORT,1179.0,1179.0,1265.4,1049.4,963.0,2.5,72,64.7,MODERATE,42.0,Information Technology,PANIC,-5,IDEAL,OK,OPEN,,,,
