Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-05-25,13:56,VCP,VCP (Minervini v2),CUMMINSIND,BUY,5382.0,5470.5,5121.76,6135.78,7212.28,5.0,46,42.6,WEAK,96.0,Capital Goods,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,DIVISLAB,BUY,6756.5,6756.5,6608.85,6977.98,7039.45,1.9,55,61.8,MODERATE,79.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,SUNPHARMA,BUY,1840.6,1840.6,1805.54,1893.19,1916.6,2.2,50,52.1,MODERATE,79.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,NMDC,BUY,90.19,90.19,87.28,94.56,97.47,2.5,50,47.4,WEAK,92.0,Metals & Mining,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,ABB,BUY,6755.0,6755.0,6581.7,7363.79,7389.0,3.7,45,46.4,WEAK,100.0,Capital Goods,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,FEDERALBNK,BUY,289.25,289.25,283.27,298.22,298.45,1.5,50,46.4,WEAK,65.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,GLENMARK,BUY,2337.0,2337.0,2229.63,2498.05,2605.42,2.5,45,45.7,WEAK,96.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,DRREDDY,BUY,1331.4,1331.4,1282.23,1405.16,1454.33,2.5,50,45.1,WEAK,72.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,AUBANK,BUY,999.3,999.3,973.4,1038.15,1052.3,2.0,50,43.8,WEAK,60.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,EMA21_Bounce,21 EMA Bounce,SCHAEFFLER,BUY,4102.7,4102.7,4011.35,4239.72,4331.07,2.5,50,40.6,WEAK,79.0,Automobile and Auto Components,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,52WH_Breakout,52-Week High Breakout,TORNTPHARM,BUY,4572.6,4572.6,4491.45,4712.9,5006.13,5.3,57,52.6,MODERATE,80.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,IDEA,BUY,14.04,14.04,13.79,17.69,23.6,8.0,35,51.8,MODERATE,100.0,Telecommunication,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,ADANIPOWER,BUY,233.38,233.38,220.31,296.84,399.52,8.0,39,49.8,WEAK,100.0,Power,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,ADANIENT,BUY,2849.7,2849.7,2739.3,3527.46,4624.16,8.0,35,46.6,WEAK,100.0,Metals & Mining,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,ADANIGREEN,BUY,1411.1,1411.1,1365.8,1479.05,1787.89,8.0,33,45.6,WEAK,100.0,Power,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,NAVINFLUOR,BUY,7445.5,7445.5,7179.0,8544.92,10323.92,8.0,35,45.5,WEAK,97.0,Chemicals,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,ZYDUSLIFE,BUY,1072.95,1072.95,1041.5,1120.12,1219.69,4.7,35,42.3,WEAK,100.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Last30Min_ATH,Last 30 Min ATH,DRREDDY,BUY,1331.4,1331.4,1298.7,1380.45,1413.15,2.5,37,37.5,WEAK,72.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,OPEN,,,,
2026-05-25,13:56,Failed_Breakout_Short,Failed Breakout Short,HINDALCO,SHORT,1099.6,1099.6,1128.97,1055.54,1026.17,2.5,72,73.9,STRONG,100.0,Metals & Mining,DISTRIBUTION,1,IDEAL,OK,OPEN,,,,
2026-05-25,13:56,Failed_Breakout_Short,Failed Breakout Short,PAGEIND,SHORT,38545.0,38545.0,40854.5,35080.75,32771.25,2.5,72,68.6,STRONG,94.0,Textiles,DISTRIBUTION,1,IDEAL,OK,OPEN,,,,
